"","MS_SubClass","MS_Zoning","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_Type_2","Heating","Heating_QC","Central_Air","Electrical","Kitchen_Qual","Functional","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Qual","Garage_Cond","Paved_Drive","Pool_QC","Fence","Misc_Feature","Sale_Type","Sale_Condition","PID","Lot_Frontage","Lot_Area","Year_Built","Year_Remod_Add","Mas_Vnr_Area","BsmtFin_SF_1","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Fireplaces","Garage_Yr_Blt","Garage_Cars","Garage_Area","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Misc_Val","Mo_Sold","Year_Sold","Sale_Price"
"458","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Other","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Other","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528178010,117,15262,2003,2004,470,3,0,643,2200,2200,0,0,2200,1,0,2,1,3,1,8,1,2003,3,685,208,55,0,0,0,0,0,7,2009,382500
"459","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Other","Average","Other","CompShg","Other","Other","BrkFace","Other","Typical","PConc","Other","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Other",528180120,44,7390,2008,2009,308,3,0,1084,1884,1884,0,0,1884,1,0,2,0,2,1,6,1,2008,2,649,231,90,0,0,0,0,0,5,2009,320000
"460","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Other","Average","Other","CompShg","VinylSd","VinylSd","BrkFace","Other","Typical","PConc","Other","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Good","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528180130,48,6472,2008,2008,500,7,0,1451,1451,1456,0,0,1456,0,0,2,0,2,1,6,1,2008,2,539,192,42,0,0,0,0,0,4,2009,248500
"461","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Other","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Other","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528186010,129,16770,2002,2003,270,3,0,516,1712,1712,0,0,1712,1,0,2,0,3,1,8,1,2002,3,701,218,183,0,0,0,0,0,9,2009,286500
"462","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Other","Average","Other","CompShg","Other","Other","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528186180,48,6240,2006,2006,176,3,0,461,1324,1324,0,0,1324,1,0,2,0,2,1,6,1,2006,2,550,192,38,0,0,0,0,0,12,2009,254000
"463","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","Other","Good","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528188020,48,3480,2003,2003,163,7,0,1405,1405,1405,0,0,1405,0,0,2,0,2,1,6,1,2003,2,478,148,36,0,0,0,0,0,11,2009,173000
"464","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","Two_Story","Good","Average","Gable","CompShg","VinylSd","Other","Other","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","No_Fireplace","Other","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528188060,36,2268,2003,2004,106,3,0,197,764,764,862,0,1626,0,0,2,0,2,1,6,0,2003,2,474,0,27,0,0,0,0,0,7,2009,173000
"465","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Other","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Other","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528218090,63,10928,2005,2005,0,7,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2005,2,390,100,0,0,0,0,0,0,6,2009,184000
"466","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","Other","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528220040,57,8918,2005,2006,0,7,0,745,745,745,745,0,1490,0,0,2,1,3,1,7,1,2005,2,392,36,20,0,0,0,0,0,7,2009,167800
"467","Other","Residential_Low_Density","No_Alley_Access","Other","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528221060,149,12589,2005,2005,0,7,0,742,742,742,742,0,1484,0,0,2,1,3,1,8,1,2005,2,390,36,24,0,0,0,0,0,6,2009,174000
"468","Other","Residential_Low_Density","No_Alley_Access","Other","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","Other","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528221070,122,11911,2005,2005,0,7,0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2005,2,400,100,38,0,0,0,0,0,3,2009,174000
"469","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Other","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528228290,53,3684,2007,2007,130,7,0,1373,1373,1555,0,0,1555,0,0,2,0,2,1,7,1,2007,3,660,143,20,0,0,0,0,0,6,2009,174000
"470","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Other","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528228295,51,3635,2007,2007,130,1,0,398,1386,1569,0,0,1569,0,1,2,0,1,1,7,1,2007,3,660,143,20,0,0,0,0,0,5,2009,175900
"471","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528228435,43,3182,2005,2006,16,3,0,1357,1373,1555,0,0,1555,0,0,2,0,2,1,7,1,2005,2,430,143,20,0,0,0,0,0,5,2009,192500
"472","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528228450,43,3182,2005,2006,16,3,0,1330,1346,1504,0,0,1504,0,0,2,0,1,1,7,1,2005,2,457,156,0,0,0,0,0,0,5,2009,181000
"473","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528228455,43,3182,2005,2006,16,3,0,1204,1220,1220,0,0,1220,0,0,2,0,2,1,5,1,2005,2,397,100,16,0,0,0,0,0,8,2009,180000
"474","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528228460,43,3182,2005,2006,11,3,0,1129,1145,1145,0,0,1145,0,0,2,0,2,1,5,1,2005,2,397,100,16,0,0,0,0,0,9,2009,160200
"475","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528235010,71,7795,2004,2005,0,3,0,291,716,716,716,0,1432,1,0,2,1,3,1,6,1,2004,2,432,100,51,0,0,0,0,0,7,2009,188500
"476","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Other","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Normal",528235090,0,8068,2002,2002,0,7,0,1010,1010,1010,1257,0,2267,0,0,2,1,4,1,8,1,2002,2,390,120,46,0,0,0,0,0,12,2009,200000
"477","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Other","Good","Average","Gable","CompShg","Other","Other","None","Good","Typical","PConc","Good","Typical","Other","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528235200,59,9434,2004,2005,0,7,0,384,384,744,630,0,1374,0,0,2,1,3,1,6,1,2004,2,400,100,0,0,0,0,0,0,8,2009,170000
"478","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528240030,62,7984,2004,2005,200,7,0,868,868,868,762,0,1630,0,0,2,1,3,1,7,1,2004,2,436,120,48,0,0,0,0,0,9,2009,189500
"479","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Other","Other","Average","Other","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528240060,0,7750,2002,2002,0,3,0,55,408,779,640,0,1419,1,0,2,1,3,1,7,1,2002,2,527,120,0,0,0,0,0,0,3,2009,184100
"480","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","Other","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","Other","None","WD ","Normal",528240150,61,10125,2004,2004,0,7,0,846,846,846,748,0,1594,0,0,2,1,3,1,7,1,2004,2,434,300,48,0,0,0,0,0,7,2009,195500
"481","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528250020,0,8965,2003,2003,0,3,0,130,782,806,683,0,1489,1,0,2,1,3,1,8,1,2003,2,400,0,75,0,0,0,0,0,6,2009,192000
"482","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528250040,0,8174,2003,2003,0,3,0,204,698,698,644,0,1342,1,0,2,1,3,1,7,1,2003,2,393,100,56,0,0,0,0,0,5,2009,178000
"483","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","Other","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Normal",528253010,34,5063,2007,2008,166,3,0,410,1314,1314,0,0,1314,1,0,2,0,2,1,6,1,2008,2,626,172,62,0,0,0,0,0,4,2009,207500
"484","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528275070,0,8795,2000,2000,0,3,0,652,952,980,1276,0,2256,0,0,2,1,4,1,8,1,2000,2,554,224,54,0,0,0,0,0,4,2009,236000
"485","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Other","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528275160,0,12891,2002,2002,0,3,0,219,870,878,1126,0,2004,1,0,2,1,4,1,8,1,2002,3,644,0,48,0,0,0,0,0,7,2009,257500
"486","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Other","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528280230,0,12224,2000,2000,40,3,0,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,2000,2,390,24,48,0,0,0,0,0,7,2009,244000
"487","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Other","Norm","OneFam","Other","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","Other","GLQ","Other","GasA","Excellent","Y","SBrkr","Good","Typ","No_Fireplace","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528290030,61,9734,2004,2004,0,3,113,30,384,744,630,0,1374,0,0,2,1,3,1,7,0,2004,2,400,0,0,0,0,0,0,0,5,2009,167000
"488","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Other","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Typical","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528290120,60,8123,2000,2000,16,7,0,982,982,1007,793,0,1800,0,0,2,1,3,1,7,1,2000,2,463,100,63,0,0,0,0,0,6,2009,179000
"489","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528290180,42,8433,2000,2000,0,3,0,111,794,819,695,0,1514,1,0,2,1,3,1,7,1,2000,2,394,0,72,0,0,0,0,0,6,2009,190000
"490","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Other","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Typical","Other","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528290190,62,7750,1999,2000,0,7,0,384,384,774,656,0,1430,0,0,2,1,3,1,7,1,1999,2,400,0,0,0,0,0,0,0,3,2009,156000
"491","Other","Residential_Low_Density","No_Alley_Access","Other","Lvl","AllPub","Other","Gtl","Other","Other","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528292030,0,15896,1999,1999,210,1,0,264,1177,1223,1089,0,2312,1,0,2,1,4,1,8,1,1999,3,658,298,0,0,0,0,0,0,5,2009,245000
"492","Other","Residential_Low_Density","No_Alley_Access","Other","Lvl","AllPub","Other","Gtl","Other","Other","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Typical","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528292040,0,24682,1999,1999,0,7,0,841,841,892,783,0,1675,0,0,2,1,3,1,7,1,1999,2,502,0,103,0,0,0,0,0,6,2009,181000
"493","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Other","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Other","RFn","Typical","Typical","Paved","No_Pool","Other","None","WD ","Normal",528292070,0,8755,1999,1999,298,1,0,220,992,1022,1038,0,2060,1,0,2,1,3,1,8,1,1999,2,390,0,0,0,168,0,0,0,6,2009,214000
"494","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Other","Good","Other","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","PConc","Typical","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Typical","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528294050,64,7848,1999,1999,0,7,0,384,384,774,656,0,1430,0,0,2,1,3,1,7,1,1999,2,410,0,0,0,0,0,0,0,6,2009,168000
"495","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528315090,82,9430,1999,1999,673,3,0,89,1252,1268,1097,0,2365,1,0,2,1,3,1,8,1,1999,3,856,0,128,0,0,180,0,0,7,2009,337000
"496","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528321010,174,15138,1995,1996,506,3,0,773,1462,1490,1304,0,2794,1,0,2,1,4,1,9,1,1995,3,810,0,146,202,0,0,0,0,7,2009,403000
"497","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Other","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528327070,106,12720,2000,2000,150,3,0,282,1455,1466,1221,0,2687,1,0,2,1,4,1,10,2,2000,3,810,252,30,0,0,0,0,0,9,2009,327000
"498","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528344040,0,16545,1998,1998,731,3,0,503,1284,1310,1140,0,2450,1,0,2,1,3,1,7,1,1998,3,1069,0,126,0,0,0,0,0,5,2009,340000
"499","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Other","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528344100,98,12203,1998,1999,975,3,0,371,1225,1276,1336,0,2612,1,0,2,1,4,1,8,1,1998,3,676,250,0,0,0,0,0,0,7,2009,336000
"500","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528354050,79,10208,1996,1997,921,7,0,1264,1264,1277,1067,0,2344,0,0,2,1,3,1,7,1,1996,3,889,220,0,0,0,0,0,0,7,2009,265000
"501","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Other","CompShg","Other","Other","BrkFace","Good","Typical","PConc","Good","Typical","Other","Other","Other","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528363050,0,10750,1994,1995,634,2,1526,262,2024,2063,0,0,2063,1,0,2,0,3,1,7,2,1994,3,815,182,56,0,0,0,0,0,6,2009,315000
"502","Other","Residential_Low_Density","No_Alley_Access","Regular","Other","AllPub","Inside","Other","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","Other","Other","BrkFace","Good","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528365070,90,9900,1993,1993,256,3,0,360,1347,1372,1274,0,2646,1,0,2,1,4,1,9,1,1993,3,656,340,60,144,0,0,0,0,4,2009,260000
"503","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528385050,79,9085,1995,1996,286,3,0,254,1070,1094,967,0,2061,1,0,2,1,3,1,7,1,1995,2,647,296,102,209,0,0,0,0,11,2009,260000
